agent_id,action_id,time_start,success,action_idx,pose_delta,pose
0,500,40.5503203868866,0,30,,
0,100,63.42138171195984,1,33,,
1,2,72.49418449401855,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.75, -2.75, 0.9, 0, 30.0, -270.0]"
1,2,73.01422500610352,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.75, -2.5, 0.9, 0, 30.0, -270.0]"
1,2,73.36088943481445,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.75, -2.25, 0.9, 0, 30.0, -270.0]"
1,2,74.26896262168884,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.75, -2.0, 0.9, 0, 30.0, -270.0]"
1,2,74.56517672538757,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.75, -1.75, 0.9, 0, 30.0, -270.0]"
1,2,74.8025472164154,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.75, -1.5, 0.9, 0, 30.0, -270.0]"
1,2,74.9824378490448,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.75, -1.25, 0.9, 0, 30.0, -270.0]"
1,2,75.14844965934753,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.75, -1.0, 0.9, 0, 30.0, -270.0]"
1,2,75.4631564617157,0,2,"[0.25, 0, 0, 0, 0, 0]","[1.75, -1.0, 0.9, 0, 30.0, -270.0]"
1,4,75.96460771560669,1,4,"[0, 0, 0, 0, 0, 90]","[1.75, -1.0, 0.9, 0, 30.0, -180.0]"
1,2,79.30943131446838,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.5, -1.0, 0.9, 0, 30.0, -180.0]"
1,2,79.64453387260437,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.25, -1.0, 0.9, 0, 30.0, -180.0]"
1,2,80.02185988426208,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.0, -1.0, 0.9, 0, 30.0, -180.0]"
1,2,80.29819130897522,1,2,"[0.25, 0, 0, 0, 0, 0]","[0.75, -1.0, 0.9, 0, 30.0, -180.0]"
1,2,80.65819597244263,1,2,"[0.25, 0, 0, 0, 0, 0]","[0.5, -1.0, 0.9, 0, 30.0, -180.0]"
1,2,80.82660031318665,1,2,"[0.25, 0, 0, 0, 0, 0]","[0.25, -1.0, 0.9, 0, 30.0, -180.0]"
1,2,80.9943687915802,1,2,"[0.25, 0, 0, 0, 0, 0]","[0.0, -1.0, 0.9, 0, 30.0, -180.0]"
1,5,83.70984768867493,1,5,"[0, 0, 0, 0, 0, -90]","[0.0, -1.0, 0.9, 0, 30.0, -270.0]"
1,5,85.9174530506134,1,5,"[0, 0, 0, 0, 0, -90]","[0.0, -1.0, 0.9, 0, 30.0, -0.0]"
1,8,88.13292503356934,1,8,"[0, 0.25, 0, 0, 0, 0]","[0.0, -0.75, 0.9, 0, 30.0, -0.0]"
1,8,88.55967974662781,1,8,"[0, 0.25, 0, 0, 0, 0]","[0.0, -0.5, 0.9, 0, 30.0, -0.0]"
1,8,88.94492936134338,1,8,"[0, 0.25, 0, 0, 0, 0]","[0.0, -0.25, 0.9, 0, 30.0, -0.0]"
1,8,89.32522559165955,1,8,"[0, 0.25, 0, 0, 0, 0]","[0.0, -0.0, 0.9, 0, 30.0, -0.0]"
1,8,89.60417485237122,1,8,"[0, 0.25, 0, 0, 0, 0]","[0.0, 0.25, 0.9, 0, 30.0, -0.0]"
1,8,89.78232622146606,1,8,"[0, 0.25, 0, 0, 0, 0]","[0.0, 0.5, 0.9, 0, 30.0, -0.0]"
1,8,90.00286221504211,1,8,"[0, 0.25, 0, 0, 0, 0]","[0.0, 0.75, 0.9, 0, 30.0, -0.0]"
0,502,90.17087864875793,1,32,,
1,8,98.04963207244873,1,8,"[0, 0.25, 0, 0, 0, 0]","[0.0, 1.0, 0.9, 0, 30.0, -0.0]"
1,8,98.35740399360657,0,8,"[0, 0.25, 0, 0, 0, 0]","[0.0, 1.0, 0.9, 0, 30.0, -0.0]"
1,2,99.4287703037262,1,2,"[0.25, 0, 0, 0, 0, 0]","[0.25, 1.0, 0.9, 0, 30.0, -0.0]"
1,2,100.02158403396606,1,2,"[0.25, 0, 0, 0, 0, 0]","[0.5, 1.0, 0.9, 0, 30.0, -0.0]"
1,2,100.34013772010803,1,2,"[0.25, 0, 0, 0, 0, 0]","[0.75, 1.0, 0.9, 0, 30.0, -0.0]"
1,2,100.74442267417908,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.0, 1.0, 0.9, 0, 30.0, -0.0]"
1,2,103.44409799575806,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.25, 1.0, 0.9, 0, 30.0, -0.0]"
1,2,105.15599179267883,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.5, 1.0, 0.9, 0, 30.0, -0.0]"
1,2,105.50784850120544,0,2,"[0.25, 0, 0, 0, 0, 0]","[1.5, 1.0, 0.9, 0, 30.0, -0.0]"
1,2,106.20892071723938,0,2,"[0.25, 0, 0, 0, 0, 0]","[1.5, 1.0, 0.9, 0, 30.0, -0.0]"
1,2,106.96456408500671,0,2,"[0.25, 0, 0, 0, 0, 0]","[1.5, 1.0, 0.9, 0, 30.0, -0.0]"
1,4,108.05310535430908,1,4,"[0, 0, 0, 0, 0, 90]","[1.5, 1.0, 0.9, 0, 30.0, -270.0]"
1,2,110.68426752090454,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.5, 1.25, 0.9, 0, 30.0, -270.0]"
1,2,110.9509711265564,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.5, 1.5, 0.9, 0, 30.0, -270.0]"
1,2,111.17534112930298,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.5, 1.75, 0.9, 0, 30.0, -270.0]"
1,2,111.46380114555359,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.5, 2.0, 0.9, 0, 30.0, -270.0]"
1,2,111.67392063140869,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.5, 2.25, 0.9, 0, 30.0, -270.0]"
1,2,111.87780666351318,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.5, 2.5, 0.9, 0, 30.0, -270.0]"
1,2,112.2890682220459,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.5, 2.75, 0.9, 0, 30.0, -270.0]"
1,4,113.0441026687622,1,4,"[0, 0, 0, 0, 0, 90]","[1.5, 2.75, 0.9, 0, 30.0, -180.0]"
0,502,113.19409084320068,1,32,,
1,2,115.6451199054718,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.25, 2.75, 0.9, 0, 30.0, -180.0]"
1,2,115.84444665908813,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.0, 2.75, 0.9, 0, 30.0, -180.0]"
1,2,116.05454707145691,1,2,"[0.25, 0, 0, 0, 0, 0]","[0.75, 2.75, 0.9, 0, 30.0, -180.0]"
1,2,116.28700995445251,1,2,"[0.25, 0, 0, 0, 0, 0]","[0.5, 2.75, 0.9, 0, 30.0, -180.0]"
1,200,124.6079511642456,1,15,,
1,4,126.47652053833008,1,4,"[0, 0, 0, 0, 0, 90]","[0.5, 2.75, 0.9, 0, 30.0, -90.0]"
1,8,128.613285779953,1,8,"[0, 0.25, 0, 0, 0, 0]","[0.75, 2.75, 0.9, 0, 30.0, -90.0]"
1,8,129.79622220993042,1,8,"[0, 0.25, 0, 0, 0, 0]","[1.0, 2.75, 0.9, 0, 30.0, -90.0]"
1,8,130.3209466934204,1,8,"[0, 0.25, 0, 0, 0, 0]","[1.25, 2.75, 0.9, 0, 30.0, -90.0]"
1,2,132.04451298713684,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.25, 2.5, 0.9, 0, 30.0, -90.0]"
1,2,132.28379154205322,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.25, 2.25, 0.9, 0, 30.0, -90.0]"
1,2,132.46033906936646,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.25, 2.0, 0.9, 0, 30.0, -90.0]"
1,2,132.65637683868408,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.25, 1.75, 0.9, 0, 30.0, -90.0]"
1,2,132.8112313747406,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.25, 1.5, 0.9, 0, 30.0, -90.0]"
1,2,132.9639744758606,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.25, 1.25, 0.9, 0, 30.0, -90.0]"
1,2,133.16704082489014,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.25, 1.0, 0.9, 0, 30.0, -90.0]"
1,2,133.35082340240479,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.25, 0.75, 0.9, 0, 30.0, -90.0]"
1,2,133.55103707313538,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.25, 0.5, 0.9, 0, 30.0, -90.0]"
1,5,134.23623061180115,1,5,"[0, 0, 0, 0, 0, -90]","[1.25, 0.5, 0.9, 0, 30.0, -180.0]"
1,5,134.45159912109375,1,5,"[0, 0, 0, 0, 0, -90]","[1.25, 0.5, 0.9, 0, 30.0, -270.0]"
1,4,136.7241494655609,1,4,"[0, 0, 0, 0, 0, 90]","[1.25, 0.5, 0.9, 0, 30.0, -180.0]"
1,2,139.4366545677185,1,2,"[0.25, 0, 0, 0, 0, 0]","[1.0, 0.5, 0.9, 0, 30.0, -180.0]"
1,2,139.69437718391418,1,2,"[0.25, 0, 0, 0, 0, 0]","[0.75, 0.5, 0.9, 0, 30.0, -180.0]"
1,2,140.06832933425903,1,2,"[0.25, 0, 0, 0, 0, 0]","[0.5, 0.5, 0.9, 0, 30.0, -180.0]"
1,2,140.2857210636139,1,2,"[0.25, 0, 0, 0, 0, 0]","[0.25, 0.5, 0.9, 0, 30.0, -180.0]"
1,2,140.6521279811859,1,2,"[0.25, 0, 0, 0, 0, 0]","[0.0, 0.5, 0.9, 0, 30.0, -180.0]"
1,2,140.81592917442322,1,2,"[0.25, 0, 0, 0, 0, 0]","[-0.25, 0.5, 0.9, 0, 30.0, -180.0]"
1,2,141.0300736427307,1,2,"[0.25, 0, 0, 0, 0, 0]","[-0.5, 0.5, 0.9, 0, 30.0, -180.0]"
1,2,141.277934551239,1,2,"[0.25, 0, 0, 0, 0, 0]","[-0.75, 0.5, 0.9, 0, 30.0, -180.0]"
